차하, 151, 59
차바, 170, 79
카나, 189, 92
아바, 161, 85
나아, 188, 66
다라, 184, 90
하사, 168, 59
파나, 169, 63
마타, 151, 50
하하, 153, 64
아나, 150, 84
가카, 171, 78
나나, 168, 75
타타, 175, 65
카아, 163, 69
타사, 170, 89
가다, 152, 54
차라, 173, 73
아아, 153, 67
사타, 156, 51
차카, 178, 78
카아, 189, 67
하가, 191, 56
라자, 181, 75
자가, 153, 86
마다, 158, 54
가마, 175, 90
다타, 198, 76
가라, 184, 61
다사, 163, 66
가다, 199, 69
라아, 194, 52
사라, 181, 67
가마, 163, 92
라하, 190, 53
타마, 155, 54
가자, 157, 67
자자, 156, 92
바바, 198, 74
나파, 168, 75
마하, 152, 65
사마, 177, 68
자차, 160, 72
차자, 161, 86
카차, 182, 83
바하, 170, 57
가아, 163, 84
카가, 198, 99
마카, 175, 67
하라, 174, 63
나가, 183, 60
차하, 196, 65
차마, 197, 50
사파, 188, 98
카하, 169, 89
바자, 185, 61
자사, 177, 53
사마, 186, 73
사하, 174, 64
카가, 155, 90
파자, 176, 93
자마, 154, 76
다바, 186, 60
아사, 187, 95
타하, 186, 50
아타, 183, 80
아파, 195, 66
타다, 174, 81
가다, 170, 83
자하, 189, 87
차타, 151, 50
마하, 175, 77
차하, 163, 68
카라, 196, 70
마카, 176, 55
라카, 152, 56
자라, 153, 50
라자, 154, 72
파아, 162, 94
파차, 178, 96
나다, 180, 82
차라, 179, 62
마아, 172, 75
차라, 192, 94
차나, 177, 96
파자, 157, 75
하차, 175, 52
하타, 167, 50
아자, 171, 97
카라, 171, 86
가하, 197, 62
나타, 154, 88
라가, 192, 79
파마, 195, 98
사바, 151, 79
아마, 174, 98
차파, 191, 82
바카, 183, 78
아바, 161, 86
바가, 184, 76
나나, 151, 92
타하, 199, 62
아타, 172, 53
차마, 178, 64
가바, 162, 83
사사, 164, 54
자아, 167, 74
하라, 163, 75
파바, 171, 61
사마, 167, 68
타사, 163, 64
하타, 179, 64
파아, 172, 69
사파, 159, 90
아차, 155, 97
타하, 178, 86
가차, 194, 85
타자, 163, 92
하마, 155, 78
하나, 185, 71
사나, 159, 74
바하, 171, 85
다바, 176, 65
다바, 175, 55
사라, 169, 73
라아, 184, 95
하마, 182, 84
마바, 192, 51
나하, 177, 87
나라, 183, 85
라가, 199, 86
가카, 181, 77
파바, 171, 59
사나, 159, 86
마바, 194, 55
마사, 185, 98
자자, 150, 67
카차, 152, 71
차타, 196, 87
차카, 158, 66
파차, 158, 71
마나, 194, 91
타타, 160, 61
마바, 171, 94
카카, 166, 80
사자, 184, 59
카하, 197, 80
나아, 151, 70
차바, 168, 87
바가, 187, 69
아라, 191, 95
파나, 195, 55
하하, 156, 61
사사, 170, 77
파타, 151, 68
자아, 161, 98
다파, 193, 65
파하, 198, 81
사다, 152, 62
라타, 170, 81
하바, 152, 60
바하, 181, 65
파파, 174, 80
자라, 175, 55
카다, 151, 66
하자, 152, 77
나파, 171, 76
마가, 152, 81
카다, 170, 64
가라, 158, 95
하파, 166, 77
가아, 157, 98
다카, 161, 50
파다, 178, 99
바파, 167, 54
하자, 165, 52
마파, 196, 68
바나, 159, 82
다아, 176, 94
파타, 158, 65
차마, 174, 69
나하, 198, 80
사하, 176, 64
카카, 164, 57
하자, 167, 93
사사, 153, 78
차파, 159, 74
카다, 158, 91
마사, 172, 62
차가, 187, 76
타다, 171, 75
바카, 167, 57
바마, 150, 60
아마, 186, 71
나다, 189, 66
바바, 191, 78
차자, 165, 84
라라, 159, 57
라나, 155, 70
나바, 181, 74
차라, 172, 95
카다, 157, 50
타나, 171, 73
나바, 173, 88
라사, 187, 74
라자, 193, 61
하라, 179, 91
카라, 170, 58
카라, 183, 73
타다, 193, 57
나라, 196, 98
다다, 198, 77
바타, 155, 80
파마, 186, 71
다사, 188, 55
파가, 172, 87
가파, 161, 80
파사, 177, 91
타바, 167, 61
바차, 186, 85
파다, 194, 80
라나, 185, 84
나아, 178, 88
하파, 166, 69
아바, 156, 90
파차, 167, 98
라나, 171, 55
가자, 190, 90
나다, 196, 60
마카, 156, 98
자카, 178, 96
다가, 167, 93
하카, 156, 64
카나, 179, 55
타바, 168, 83
카아, 188, 76
자아, 155, 80
카다, 185, 99
아사, 192, 95
다바, 165, 89
하차, 160, 56
사라, 171, 95
아마, 185, 63
카파, 197, 55
바바, 155, 67
하나, 187, 50
가사, 185, 86
라카, 185, 93
아다, 179, 51
다카, 178, 63
하타, 195, 95
바파, 180, 87
카마, 167, 58
바사, 196, 64
다하, 192, 84
타파, 157, 93
하가, 163, 64
하다, 175, 89
마마, 156, 57
나마, 154, 88
하라, 152, 74
타파, 155, 52
라나, 199, 85
하하, 181, 71
차하, 197, 52
자카, 198, 83
차자, 153, 60
카차, 151, 57
나자, 193, 84
자나, 179, 88
마라, 188, 90
차타, 151, 91
자다, 195, 52
하나, 189, 54
라하, 155, 51
바라, 152, 64
라아, 176, 76
나파, 188, 79
바마, 185, 97
라다, 168, 53
라사, 185, 81
파사, 152, 99
가차, 163, 72
차파, 180, 61
카나, 183, 66
나라, 160, 78
라차, 168, 54
카타, 184, 96
자가, 182, 80
하차, 199, 82
나마, 152, 73
바라, 171, 57
사파, 189, 99
자타, 193, 60
라다, 190, 62
자카, 188, 79
자가, 182, 54
마사, 151, 76
아바, 174, 62
나마, 191, 58
아자, 160, 77
바사, 150, 94
카자, 168, 56
사마, 161, 58
파사, 175, 65
나다, 182, 70
마파, 159, 56
